121	121	Fall	2012	SCHNEIDER	CB	2750	AUTOMTN BIOLGL RESRC	A	Lect	3	4	25%	11	5	5	5	5	5	5	5	5	5	2012.8	02750 - AUTOMTN BIOLGL RESRC
122	122	Fall	2011	SCHNEIDER	CB	2750	AUTOMTN BIOLGL RESRC	A	Lect	9	3	100%	9	5	4.33	4	5	5	4.67	5	4.67	5	2011.8	02750 - AUTOMTN BIOLGL RESRC
123	123	Fall	2010	SCHNEIDER	CB	2750	AUTOMTN BIOLGL RESRC	A	Lect	9	6	50%	8.67	3.78	2.78	3.67	3	4.11	4.22	4.67	3.89	3.78	2010.8	02750 - AUTOMTN BIOLGL RESRC
124	124	Fall	2014	NAIK	CB	2750	AUTOMTN BIOLGL RESRC	A	Lect	42	27	78%	11.43	4.32	4.22	4.22	4.25	4.24	4.12	4.29	4.25	4.22	2014.8	02750 - AUTOMTN BIOLGL RESRC
125	125	Fall	2013	NAIK	CB	2750	AUTOMTN BIOLGL RESRC	A	Lect	16	16	50%	9.69	3.88	3.63	3.63	3.56	4.06	3.88	3.88	3.69	3.81	2013.8	02750 - AUTOMTN BIOLGL RESRC
131	131	Fall	2015	CHRISTOPHER LANGMEAD	CB	2750	AUTOMTN BIOLGL RESRC	A	Lect	28	45	62%	13.82	4.5	4.43	4.54	4.57	4.61	4.64	4.61	4.39	4.43	2015.8	02750 - AUTOMTN BIOLGL RESRC
132	132	Fall	2016	CHRISTOPHER LANGMEAD	CB	2750	AUTOMTN BIOLGL RESRC	A	Lect	44	79	56%	11.29	4.02	4.23	4.16	3.77	4.11	4.14	4.05	3.93	3.77	2016.8	02750 - AUTOMTN BIOLGL RESRC
136	136	Spring	2014	THICKMAN	CB	2760	LAB METHODS COMP BIO	A	Lect	1	2	50%	11	5	4	4	4	4	4	5	4	3	2014.1	02760 - LAB METHODS COMP BIO
137	137	Spring	2011	THICKMAN	CB	2760	LAB MTHDS COMP BIO	1	Lect	6	5	60%	9.5	4.5	4	4.5	4.5	4.5	4.5	4.5	4.5	3.75	2011.1	02760 - LAB MTHDS COMP BIO
138	138	Spring	2015	THICKMAN	CB	2760	LAB METHODS COMP BIO	A	Lect	4	6	33%	9.5	5	3.5	4	4.5	4.5	4.25	4.75	4.5	3.5	2015.1	02760 - LAB METHODS COMP BIO
